file,year,problem,pages,chars,ocr_pages,sections,摘要,关键词,问题重述,问题分析,模型假设,符号说明,模型建立,模型求解,模型检验,灵敏度,敏感性,误差分析,鲁棒性,稳定性,优缺点,模型评价,推广,参考文献,附录,MATLAB,Python
02_references/excellent_papers/math_exmaple/2024年高教社杯全国大学生数学建模竞赛优秀论文/A016.pdf,2024,A,59,4180,"1,2,3,58,59",摘要；问题重述；问题分析,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02_references/excellent_papers/math_exmaple/2024年高教社杯全国大学生数学建模竞赛优秀论文/A053.pdf,2024,A,62,3758,"1,2,3,61,62",摘要；问题重述；符号说明；结果分析；灵敏度分析,1,1,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
02_references/excellent_papers/math_exmaple/2024年高教社杯全国大学生数学建模竞赛优秀论文/A163.pdf,2024,A,45,4426,"1,2,3,44,45",摘要,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
02_references/excellent_papers/math_exmaple/2024年高教社杯全国大学生数学建模竞赛优秀论文/A178.pdf,2024,A,48,4998,"1,2,3,47,48",摘要；问题分析；模型假设；符号说明；模型求解,1,0,0,1,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
02_references/excellent_papers/math_exmaple/2024年高教社杯全国大学生数学建模竞赛优秀论文/A242.pdf,2024,A,58,4925,"1,2,3,57,58",摘要；问题重述；问题分析；模型求解,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
02_references/excellent_papers/math_exmaple/2024年高教社杯全国大学生数学建模竞赛优秀论文/B159.pdf,2024,B,36,6471,"1,2,3,35,36",摘要；问题重述；问题分析,1,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
02_references/excellent_papers/math_exmaple/2024年高教社杯全国大学生数学建模竞赛优秀论文/B195.pdf,2024,B,70,6270,"1,2,3,69,70",摘要；问题重述；问题分析；模型求解,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
02_references/excellent_papers/math_exmaple/2024年高教社杯全国大学生数学建模竞赛优秀论文/B196.pdf,2024,B,28,5495,"1,2,3,27,28",摘要；问题重述；问题分析,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
02_references/excellent_papers/math_exmaple/2024年高教社杯全国大学生数学建模竞赛优秀论文/C038.pdf,2024,C,61,5373,"1,2,3,60,61",摘要；模型假设；灵敏度分析,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
02_references/excellent_papers/math_exmaple/2024年高教社杯全国大学生数学建模竞赛优秀论文/C063.pdf,2024,C,49,4918,"1,2,3,48,49",摘要；问题重述；问题分析；模型的求解；灵敏度分析,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
02_references/excellent_papers/math_exmaple/2024年高教社杯全国大学生数学建模竞赛优秀论文/C094.pdf,2024,C,58,6509,"1,2,3,57,58",摘要；问题重述；问题分析；优缺点,1,1,1,2,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0
02_references/excellent_papers/math_exmaple/2024年高教社杯全国大学生数学建模竞赛优秀论文/C234.pdf,2024,C,45,4409,"1,2,3,44,45",摘要；问题重述；问题分析,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02_references/excellent_papers/math_exmaple/2024年高教社杯全国大学生数学建模竞赛优秀论文/D033.pdf,2024,D,55,4649,"1,2,3,54,55",摘要；问题分析；模型假设；符号说明；模型建立,1,1,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02_references/excellent_papers/math_exmaple/2024年高教社杯全国大学生数学建模竞赛优秀论文/E010.pdf,2024,E,39,4611,"1,2,3,38,39",摘要；问题分析；模型建立,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
02_references/excellent_papers/math_exmaple/2024年高教社杯全国大学生数学建模竞赛优秀论文/E061.pdf,2024,E,32,6508,"1,2,3,31,32",摘要；问题重述；问题分析；模型假设；符号说明,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02_references/excellent_papers/math_exmaple/2024年高教社杯全国大学生数学建模竞赛优秀论文/E218.pdf,2024,E,62,5531,"1,2,3,61,62",摘要；问题重述；问题分析；模型假设；符号说明,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
02_references/excellent_papers/math_exmaple/2025年高教社杯全国大学生数学建模竞赛优秀论文/A196.pdf,2025,A,34,4692,"1,2,3,33,34",摘要；问题重述；问题分析；参考文献；附录,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,10,0
02_references/excellent_papers/math_exmaple/2025年高教社杯全国大学生数学建模竞赛优秀论文/B060.pdf,2025,B,72,4341,"1,2,3,71,72",摘要；问题分析；模型假设；模型建立；模型求解,1,1,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
02_references/excellent_papers/math_exmaple/2025年高教社杯全国大学生数学建模竞赛优秀论文/B157.pdf,2025,B,67,4943,"1,2,3,66,67",摘要；问题重述；问题分析；模型假设,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
02_references/excellent_papers/math_exmaple/2025年高教社杯全国大学生数学建模竞赛优秀论文/C023.pdf,2025,C,28,3929,"1,2,3,27,28",摘要；问题重述；模型假设；模型检验；误差分析；附录,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,2,0,0
02_references/excellent_papers/math_exmaple/2025年高教社杯全国大学生数学建模竞赛优秀论文/C132.pdf,2025,C,65,4778,"1,2,3,64,65",摘要；问题重述；问题分析；模型假设；模型建立；模型求解,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
02_references/excellent_papers/math_exmaple/2025年高教社杯全国大学生数学建模竞赛优秀论文/D037.pdf,2025,D,36,8619,"1,2,3,35,36",摘要；问题重述；问题分析；模型假设,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
02_references/excellent_papers/math_exmaple/2025年高教社杯全国大学生数学建模竞赛优秀论文/E030.pdf,2025,E,36,6018,"1,2,3,35,36",摘要；问题重述；问题分析；误差分析,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
