scenario,param_type,K,min_size,c1,c2,alpha_penalty,total_risk,best_K_selected
K=3_minsize=20,K_minsize,3,20,1.0,1.0,0.0,1.0,3
K=3_minsize=30,K_minsize,3,30,1.0,1.0,0.0,1.0,3
K=3_minsize=40,K_minsize,3,40,1.0,1.0,0.0,1.0,3
K=4_minsize=20,K_minsize,4,20,1.0,1.0,0.0,1.0,4
K=4_minsize=30,K_minsize,4,30,1.0,1.0,0.0,1.0,4
K=4_minsize=40,K_minsize,4,40,1.0,1.0,0.0,1.0,4
K=5_minsize=20,K_minsize,5,20,1.0,1.0,0.0,1.0,5
K=5_minsize=30,K_minsize,5,30,1.0,1.0,0.0,1.0,5
K=5_minsize=40,K_minsize,5,40,1.0,1.0,0.0,1.0,5
K=6_minsize=20,K_minsize,6,20,1.0,1.0,0.0,1.0,6
K=6_minsize=30,K_minsize,6,30,1.0,1.0,0.0,1.0,6
K=6_minsize=40,K_minsize,6,40,1.0,1.0,0.0,1.0,6
c1=0.5_c2=0.5,weights,3,30,0.5,0.5,0.0,0.5,3
c1=0.5_c2=1.0,weights,3,30,0.5,1.0,0.0,0.5,3
c1=0.5_c2=2.0,weights,3,30,0.5,2.0,0.0,0.5,3
c1=1.0_c2=0.5,weights,3,30,1.0,0.5,0.0,1.0,3
c1=1.0_c2=2.0,weights,3,30,1.0,2.0,0.0,1.0,3
c1=2.0_c2=0.5,weights,3,30,2.0,0.5,0.0,2.0,3
c1=2.0_c2=1.0,weights,3,30,2.0,1.0,0.0,2.0,3
c1=2.0_c2=2.0,weights,3,30,2.0,2.0,0.0,2.0,3
alpha=0.0,complexity_penalty,3,30,1.0,1.0,0.0,1.0,3
alpha=5.0,complexity_penalty,3,30,1.0,1.0,5.0,16.0,3
alpha=10.0,complexity_penalty,3,30,1.0,1.0,10.0,31.0,3
alpha=20.0,complexity_penalty,3,30,1.0,1.0,20.0,61.0,3
