source,K,min_size,total_risk,group_idx,start_idx,end_idx,n,optimal_t,optimal_t_wday,group_risk,bmi_lo,bmi_hi,n_early_fail,n_censored,T_star_mean,T_star_median,T_star_p25,T_star_p75
empirical,3,20,90.15384615384615,1,0,25,25,14.0,14w,8.846153846153847,20.703125,29.10171012666667,5,0,13.88,13.0,12.142857142857142,13.714285714285714
empirical,3,20,90.15384615384615,2,25,245,220,14.0,14w,67.84615384615384,29.139883686666668,36.36363636,34,0,13.484415584415585,12.714285714285714,12.142857142857142,13.571428571428571
empirical,3,20,90.15384615384615,3,245,267,22,17.0,17w,13.461538461538462,36.56191029,46.875,5,0,16.097402597402596,15.857142857142858,13.357142857142858,16.857142857142858
empirical,3,30,91.84615384615384,1,0,30,30,14.0,14w,9.615384615384617,20.703125,29.345703125,5,0,13.585714285714285,12.857142857142858,12.035714285714285,13.678571428571427
empirical,3,30,91.84615384615384,2,30,237,207,14.0,14w,65.84615384615384,29.3512110725,35.747516228520496,34,0,13.552104899930988,12.714285714285714,12.142857142857142,13.571428571428571
empirical,3,30,91.84615384615384,3,237,267,30,16.5,16w+4d,16.384615384615387,35.755006941666664,46.875,6,0,15.16190476190476,13.571428571428571,12.607142857142858,16.392857142857142
empirical,3,40,93.07692307692307,1,0,40,40,14.0,14w,13.153846153846153,20.703125,29.5132861597504,7,0,13.489285714285717,12.785714285714285,12.107142857142858,13.714285714285714
empirical,3,40,93.07692307692307,2,40,81,41,14.0,14w,13.307692307692308,29.527444186666667,30.5427335078147,7,0,13.390243902439027,13.0,11.857142857142858,13.571428571428571
empirical,3,40,93.07692307692307,3,81,267,186,14.0,14w,66.61538461538461,30.559289563366125,46.875,38,0,13.866359447004609,12.857142857142858,12.178571428571429,13.714285714285714
empirical,4,20,89.53846153846155,1,0,86,86,14.0,14w,28.230769230769234,20.703125,30.588235295,15,0,13.426910299003321,12.857142857142858,12.0,13.571428571428571
empirical,4,20,89.53846153846155,2,86,107,21,13.0,13w,6.615384615384615,30.59748765666667,30.927456382499997,5,0,13.530612244897961,12.428571428571429,12.0,13.0
empirical,4,20,89.53846153846155,3,107,245,138,14.0,14w,41.23076923076923,30.9343178225,36.36363636,20,0,13.58488612836439,12.785714285714285,12.178571428571429,13.571428571428571
empirical,4,20,89.53846153846155,4,245,267,22,17.0,17w,13.461538461538462,36.56191029,46.875,5,0,16.097402597402596,15.857142857142858,13.357142857142858,16.857142857142858
empirical,4,30,91.57692307692308,1,0,75,75,14.0,14w,23.53846153846154,20.703125,30.428559774884977,12,0,13.379047619047618,12.857142857142858,12.0,13.571428571428571
empirical,4,30,91.57692307692308,2,75,108,33,13.5,13w+4d,11.807692307692308,30.442226079999998,30.9343178225,8,0,13.601731601731602,12.571428571428571,12.0,13.428571428571429
empirical,4,30,91.57692307692308,3,108,237,129,14.0,14w,39.84615384615385,30.9445601675,35.747516228520496,20,0,13.64784053156146,12.857142857142858,12.142857142857142,13.714285714285714
empirical,4,30,91.57692307692308,4,237,267,30,16.5,16w+4d,16.384615384615387,35.755006941666664,46.875,6,0,15.16190476190476,13.571428571428571,12.607142857142858,16.392857142857142
empirical,4,40,93.07692307692307,1,0,40,40,14.0,14w,13.153846153846153,20.703125,29.5132861597504,7,0,13.489285714285717,12.785714285714285,12.107142857142858,13.714285714285714
empirical,4,40,93.07692307692307,2,40,80,40,14.0,14w,13.153846153846153,29.527444186666667,30.528256747567397,7,0,13.392857142857144,12.928571428571429,11.821428571428571,13.571428571428571
empirical,4,40,93.07692307692307,3,80,120,40,14.0,14w,11.153846153846153,30.5427335078147,31.2265625,5,0,13.239285714285717,12.642857142857142,12.142857142857142,13.178571428571429
empirical,4,40,93.07692307692307,4,120,267,147,14.0,14w,55.61538461538461,31.233333334999998,46.875,33,0,14.03304178814383,13.0,12.285714285714286,13.857142857142858
empirical,5,20,89.53846153846153,1,0,86,86,14.0,14w,28.230769230769234,20.703125,30.588235295,15,0,13.426910299003321,12.857142857142858,12.0,13.571428571428571
empirical,5,20,89.53846153846153,2,86,107,21,13.0,13w,6.615384615384615,30.59748765666667,30.927456382499997,5,0,13.530612244897961,12.428571428571429,12.0,13.0
empirical,5,20,89.53846153846153,3,107,127,20,14.0,14w,4.076923076923077,30.9343178225,31.49474171,1,0,12.892857142857142,12.714285714285714,12.285714285714286,13.321428571428573
empirical,5,20,89.53846153846153,4,127,245,118,14.0,14w,37.15384615384615,31.496786045,36.36363636,19,0,13.702179176755447,12.857142857142858,12.142857142857142,13.678571428571427
empirical,5,20,89.53846153846153,5,245,267,22,17.0,17w,13.461538461538462,36.56191029,46.875,5,0,16.097402597402596,15.857142857142858,13.357142857142858,16.857142857142858
empirical,5,30,91.57692307692308,1,0,30,30,14.0,14w,9.615384615384617,20.703125,29.345703125,5,0,13.585714285714285,12.857142857142858,12.035714285714285,13.678571428571427
empirical,5,30,91.57692307692308,2,30,75,45,14.0,14w,13.923076923076923,29.3512110725,30.428559774884977,7,0,13.241269841269842,12.857142857142858,11.857142857142858,13.571428571428571
empirical,5,30,91.57692307692308,3,75,108,33,13.5,13w+4d,11.807692307692308,30.442226079999998,30.9343178225,8,0,13.601731601731602,12.571428571428571,12.0,13.428571428571429
empirical,5,30,91.57692307692308,4,108,237,129,14.0,14w,39.84615384615385,30.9445601675,35.747516228520496,20,0,13.64784053156146,12.857142857142858,12.142857142857142,13.714285714285714
empirical,5,30,91.57692307692308,5,237,267,30,16.5,16w+4d,16.384615384615387,35.755006941666664,46.875,6,0,15.16190476190476,13.571428571428571,12.607142857142858,16.392857142857142
empirical,5,40,93.07692307692307,1,0,40,40,14.0,14w,13.153846153846153,20.703125,29.5132861597504,7,0,13.489285714285717,12.785714285714285,12.107142857142858,13.714285714285714
empirical,5,40,93.07692307692307,2,40,80,40,14.0,14w,13.153846153846153,29.527444186666667,30.528256747567397,7,0,13.392857142857144,12.928571428571429,11.821428571428571,13.571428571428571
empirical,5,40,93.07692307692307,3,80,120,40,14.0,14w,11.153846153846153,30.5427335078147,31.2265625,5,0,13.239285714285717,12.642857142857142,12.142857142857142,13.178571428571429
empirical,5,40,93.07692307692307,4,120,161,41,14.0,14w,11.307692307692308,31.233333334999998,32.69345321727337,5,0,13.390243902439027,12.714285714285714,12.142857142857142,13.428571428571429
empirical,5,40,93.07692307692307,5,161,267,106,14.0,14w,44.30769230769231,32.746185758138374,46.875,28,0,14.281671159029653,13.142857142857142,12.285714285714286,15.464285714285714
empirical,6,20,89.42307692307693,1,0,25,25,14.0,14w,8.846153846153847,20.703125,29.10171012666667,5,0,13.88,13.0,12.142857142857142,13.714285714285714
empirical,6,20,89.42307692307693,2,25,54,29,13.5,13w+4d,8.346153846153847,29.139883686666668,29.884451802500003,5,0,13.024630541871922,12.571428571428571,12.142857142857142,13.142857142857142
empirical,6,20,89.42307692307693,3,54,86,32,14.0,14w,10.923076923076923,29.89106411746565,30.588235295,6,0,13.4375,13.071428571428571,11.821428571428571,13.607142857142858
empirical,6,20,89.42307692307693,4,86,107,21,13.0,13w,6.615384615384615,30.59748765666667,30.927456382499997,5,0,13.530612244897961,12.428571428571429,12.0,13.0
empirical,6,20,89.42307692307693,5,107,245,138,14.0,14w,41.23076923076923,30.9343178225,36.36363636,20,0,13.58488612836439,12.785714285714285,12.178571428571429,13.571428571428571
empirical,6,20,89.42307692307693,6,245,267,22,17.0,17w,13.461538461538462,36.56191029,46.875,5,0,16.097402597402596,15.857142857142858,13.357142857142858,16.857142857142858
empirical,6,30,91.57692307692307,1,0,75,75,14.0,14w,23.53846153846154,20.703125,30.428559774884977,12,0,13.379047619047618,12.857142857142858,12.0,13.571428571428571
empirical,6,30,91.57692307692307,2,75,108,33,13.5,13w+4d,11.807692307692308,30.442226079999998,30.9343178225,8,0,13.601731601731602,12.571428571428571,12.0,13.428571428571429
empirical,6,30,91.57692307692307,3,108,138,30,14.0,14w,7.615384615384616,30.9445601675,31.816958349278927,3,0,13.014285714285712,12.642857142857142,12.178571428571429,13.392857142857142
empirical,6,30,91.57692307692307,4,138,169,31,14.0,14w,8.76923076923077,31.823589749140602,32.897313590694175,4,0,13.479262672811059,12.714285714285714,12.285714285714286,13.357142857142858
empirical,6,30,91.57692307692307,5,169,237,68,14.0,14w,23.46153846153846,32.919589435,35.747516228520496,13,0,14.004201680672269,13.142857142857142,12.142857142857142,13.75
empirical,6,30,91.57692307692307,6,237,267,30,16.5,16w+4d,16.384615384615387,35.755006941666664,46.875,6,0,15.16190476190476,13.571428571428571,12.607142857142858,16.392857142857142
empirical,6,40,93.07692307692307,1,0,40,40,14.0,14w,13.153846153846153,20.703125,29.5132861597504,7,0,13.489285714285717,12.785714285714285,12.107142857142858,13.714285714285714
empirical,6,40,93.07692307692307,2,40,80,40,14.0,14w,13.153846153846153,29.527444186666667,30.528256747567397,7,0,13.392857142857144,12.928571428571429,11.821428571428571,13.571428571428571
empirical,6,40,93.07692307692307,3,80,120,40,14.0,14w,11.153846153846153,30.5427335078147,31.2265625,5,0,13.239285714285717,12.642857142857142,12.142857142857142,13.178571428571429
empirical,6,40,93.07692307692307,4,120,160,40,14.0,14w,11.153846153846153,31.233333334999998,32.6580650566962,5,0,13.417857142857144,12.714285714285714,12.107142857142858,13.428571428571429
empirical,6,40,93.07692307692307,5,160,200,40,14.0,14w,11.153846153846153,32.69345321727337,33.8466056317916,5,0,13.396428571428572,13.0,12.285714285714286,13.571428571428571
empirical,6,40,93.07692307692307,6,200,267,67,14.0,14w,33.30769230769231,33.8888888875,46.875,23,0,14.780383795309168,13.285714285714286,12.285714285714286,16.214285714285715
