K,min_size,c1,c2,alpha_penalty,total_risk,group_idx,start_idx,end_idx,n,optimal_t,optimal_t_wday,group_risk,bmi_lo,bmi_hi,n_early_fail,n_censored,T_star_mean,T_star_median,T_star_p25,T_star_p75
3,20,1.0,1.0,0.0,1.0,1,0,20,20,10.0,10w,1.0,20.703125,28.806764467500003,1,0,10.315000000000001,10.0,10.0,10.0
3,20,1.0,1.0,0.0,1.0,2,20,40,20,10.0,10w,0.0,28.965662900093676,29.5132861597504,0,0,10.0,10.0,10.0,10.0
3,20,1.0,1.0,0.0,1.0,3,40,267,227,11.5,11w+4d,0.0,29.527444186666667,46.875,0,0,10.016740088105728,10.0,10.0,10.0
3,30,1.0,1.0,0.0,1.0,1,0,30,30,10.0,10w,1.0,20.703125,29.345703125,1,0,10.21,10.0,10.0,10.0
3,30,1.0,1.0,0.0,1.0,2,30,60,30,10.0,10w,0.0,29.3512110725,30.0275482125,0,0,10.0,10.0,10.0,10.0
3,30,1.0,1.0,0.0,1.0,3,60,267,207,11.5,11w+4d,0.0,30.0695270675,46.875,0,0,10.018357487922707,10.0,10.0,10.0
3,40,1.0,1.0,0.0,1.0,1,0,40,40,10.0,10w,1.0,20.703125,29.5132861597504,1,0,10.1575,10.0,10.0,10.0
3,40,1.0,1.0,0.0,1.0,2,40,80,40,10.0,10w,0.0,29.527444186666667,30.5282567475674,0,0,10.0,10.0,10.0,10.0
3,40,1.0,1.0,0.0,1.0,3,80,267,187,11.5,11w+4d,0.0,30.5427335078147,46.875,0,0,10.020320855614973,10.0,10.0,10.0
4,20,1.0,1.0,0.0,1.0,1,0,20,20,10.0,10w,1.0,20.703125,28.806764467500003,1,0,10.315000000000001,10.0,10.0,10.0
4,20,1.0,1.0,0.0,1.0,2,20,40,20,10.0,10w,0.0,28.965662900093676,29.5132861597504,0,0,10.0,10.0,10.0,10.0
4,20,1.0,1.0,0.0,1.0,3,40,60,20,10.0,10w,0.0,29.527444186666667,30.0275482125,0,0,10.0,10.0,10.0,10.0
4,20,1.0,1.0,0.0,1.0,4,60,267,207,11.5,11w+4d,0.0,30.0695270675,46.875,0,0,10.018357487922707,10.0,10.0,10.0
4,30,1.0,1.0,0.0,1.0,1,0,30,30,10.0,10w,1.0,20.703125,29.345703125,1,0,10.21,10.0,10.0,10.0
4,30,1.0,1.0,0.0,1.0,2,30,60,30,10.0,10w,0.0,29.3512110725,30.0275482125,0,0,10.0,10.0,10.0,10.0
4,30,1.0,1.0,0.0,1.0,3,60,90,30,10.0,10w,0.0,30.0695270675,30.644127545,0,0,10.0,10.0,10.0,10.0
4,30,1.0,1.0,0.0,1.0,4,90,267,177,11.5,11w+4d,0.0,30.64516129,46.875,0,0,10.021468926553672,10.0,10.0,10.0
4,40,1.0,1.0,0.0,1.0,1,0,40,40,10.0,10w,1.0,20.703125,29.5132861597504,1,0,10.1575,10.0,10.0,10.0
4,40,1.0,1.0,0.0,1.0,2,40,80,40,10.0,10w,0.0,29.527444186666667,30.5282567475674,0,0,10.0,10.0,10.0,10.0
4,40,1.0,1.0,0.0,1.0,3,80,120,40,10.0,10w,0.0,30.5427335078147,31.2265625,0,0,10.0,10.0,10.0,10.0
4,40,1.0,1.0,0.0,1.0,4,120,267,147,11.5,11w+4d,0.0,31.233333335,46.875,0,0,10.025850340136055,10.0,10.0,10.0
5,20,1.0,1.0,0.0,1.0,1,0,20,20,10.0,10w,1.0,20.703125,28.806764467500003,1,0,10.315000000000001,10.0,10.0,10.0
5,20,1.0,1.0,0.0,1.0,2,20,40,20,10.0,10w,0.0,28.965662900093676,29.5132861597504,0,0,10.0,10.0,10.0,10.0
5,20,1.0,1.0,0.0,1.0,3,40,60,20,10.0,10w,0.0,29.527444186666667,30.0275482125,0,0,10.0,10.0,10.0,10.0
5,20,1.0,1.0,0.0,1.0,4,60,80,20,10.0,10w,0.0,30.0695270675,30.5282567475674,0,0,10.0,10.0,10.0,10.0
5,20,1.0,1.0,0.0,1.0,5,80,267,187,11.5,11w+4d,0.0,30.5427335078147,46.875,0,0,10.020320855614973,10.0,10.0,10.0
5,30,1.0,1.0,0.0,1.0,1,0,30,30,10.0,10w,1.0,20.703125,29.345703125,1,0,10.21,10.0,10.0,10.0
5,30,1.0,1.0,0.0,1.0,2,30,60,30,10.0,10w,0.0,29.3512110725,30.0275482125,0,0,10.0,10.0,10.0,10.0
5,30,1.0,1.0,0.0,1.0,3,60,90,30,10.0,10w,0.0,30.0695270675,30.644127545,0,0,10.0,10.0,10.0,10.0
5,30,1.0,1.0,0.0,1.0,4,90,120,30,10.0,10w,0.0,30.64516129,31.2265625,0,0,10.0,10.0,10.0,10.0
5,30,1.0,1.0,0.0,1.0,5,120,267,147,11.5,11w+4d,0.0,31.233333335,46.875,0,0,10.025850340136055,10.0,10.0,10.0
5,40,1.0,1.0,0.0,1.0,1,0,40,40,10.0,10w,1.0,20.703125,29.5132861597504,1,0,10.1575,10.0,10.0,10.0
5,40,1.0,1.0,0.0,1.0,2,40,80,40,10.0,10w,0.0,29.527444186666667,30.5282567475674,0,0,10.0,10.0,10.0,10.0
5,40,1.0,1.0,0.0,1.0,3,80,120,40,10.0,10w,0.0,30.5427335078147,31.2265625,0,0,10.0,10.0,10.0,10.0
5,40,1.0,1.0,0.0,1.0,4,120,160,40,10.0,10w,0.0,31.233333335,32.6580650566962,0,0,10.0,10.0,10.0,10.0
5,40,1.0,1.0,0.0,1.0,5,160,267,107,11.5,11w+4d,0.0,32.69345321727337,46.875,0,0,10.03551401869159,10.0,10.0,10.0
6,20,1.0,1.0,0.0,1.0,1,0,20,20,10.0,10w,1.0,20.703125,28.806764467500003,1,0,10.315000000000001,10.0,10.0,10.0
6,20,1.0,1.0,0.0,1.0,2,20,40,20,10.0,10w,0.0,28.965662900093676,29.5132861597504,0,0,10.0,10.0,10.0,10.0
6,20,1.0,1.0,0.0,1.0,3,40,60,20,10.0,10w,0.0,29.527444186666667,30.0275482125,0,0,10.0,10.0,10.0,10.0
6,20,1.0,1.0,0.0,1.0,4,60,80,20,10.0,10w,0.0,30.0695270675,30.5282567475674,0,0,10.0,10.0,10.0,10.0
6,20,1.0,1.0,0.0,1.0,5,80,100,20,10.0,10w,0.0,30.5427335078147,30.81951861090335,0,0,10.0,10.0,10.0,10.0
6,20,1.0,1.0,0.0,1.0,6,100,267,167,11.5,11w+4d,0.0,30.8282503304982,46.875,0,0,10.022754491017963,10.0,10.0,10.0
6,30,1.0,1.0,0.0,1.0,1,0,30,30,10.0,10w,1.0,20.703125,29.345703125,1,0,10.21,10.0,10.0,10.0
6,30,1.0,1.0,0.0,1.0,2,30,60,30,10.0,10w,0.0,29.3512110725,30.0275482125,0,0,10.0,10.0,10.0,10.0
6,30,1.0,1.0,0.0,1.0,3,60,90,30,10.0,10w,0.0,30.0695270675,30.644127545,0,0,10.0,10.0,10.0,10.0
6,30,1.0,1.0,0.0,1.0,4,90,120,30,10.0,10w,0.0,30.64516129,31.2265625,0,0,10.0,10.0,10.0,10.0
6,30,1.0,1.0,0.0,1.0,5,120,150,30,10.0,10w,0.0,31.233333335,32.22761533067208,0,0,10.0,10.0,10.0,10.0
6,30,1.0,1.0,0.0,1.0,6,150,267,117,11.5,11w+4d,0.0,32.3647966184369,46.875,0,0,10.032478632478634,10.0,10.0,10.0
6,40,1.0,1.0,0.0,1.0,1,0,40,40,10.0,10w,1.0,20.703125,29.5132861597504,1,0,10.1575,10.0,10.0,10.0
6,40,1.0,1.0,0.0,1.0,2,40,80,40,10.0,10w,0.0,29.527444186666667,30.5282567475674,0,0,10.0,10.0,10.0,10.0
6,40,1.0,1.0,0.0,1.0,3,80,120,40,10.0,10w,0.0,30.5427335078147,31.2265625,0,0,10.0,10.0,10.0,10.0
6,40,1.0,1.0,0.0,1.0,4,120,160,40,10.0,10w,0.0,31.233333335,32.6580650566962,0,0,10.0,10.0,10.0,10.0
6,40,1.0,1.0,0.0,1.0,5,160,200,40,10.0,10w,0.0,32.69345321727337,33.846605631791604,0,0,10.0,10.0,10.0,10.0
6,40,1.0,1.0,0.0,1.0,6,200,267,67,11.5,11w+4d,0.0,33.8888888875,46.875,0,0,10.056716417910447,10.0,10.0,10.0
